"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"ML34";"ML34";"SV1";"HARTING";"AE11226-ND";"";"";"unknown";"unknown";
"1";"";"PINHD-1X5_2.54";"1X05";"JP2";"PIN HEADER";"A101735CT-ND";"";"";"";"";
"1";"";"PINHD-1X7_2.54";"1X07";"JP1";"PIN HEADER";"A101735CT-ND";"";"";"";"";
"1";"";"RN06";"RN-7";"RN2";"RESISTOR NETWORK";"4607X-101-472LF-ND ";"";"";"unknown";"unknown";
"1";"";"W237-102";"W237-102";"X1";"WAGO SCREW CLAMP";"";"";"237-102";"unknown";"70K9898";
"5";"100nF";"C-EUC0603";"C0603";"C2, C4, C5, C6, C7";"CAPACITOR, European symbol";"478-5052-1-ND";"";"";"";"";
"2";"100ÂµF";"CPOL-EU153CLV-0605";"153CLV-0605";"C1, C3";"POLARIZED CAPACITOR, European symbol";"493-2203-1-ND";"";"";"";"";
"1";"10k";"R-EU_R0805";"R0805";"R2";"RESISTOR, European symbol";"RMCF0805JT10K0CT-ND";"";"";"";"";
"2";"1k";"R-EU_R0805";"R0805";"R1, R3";"RESISTOR, European symbol";"RMCF0805JT1K00CT-ND";"";"";"";"";
"3";"74HC595D";"74HC595D";"SO16";"IC2, IC3, IC4";"8-bit SHIFT REGISTER, output latch";"568-2263-1-ND";"";"";"";"";
"1";"7805DT";"7805DT";"TO252";"IC1";"Positive VOLTAGE REGULATOR";"MC7805CDTGOS-ND";"";"";"";"";
"1";"LL4148";"PMLL4150";"SOD80C";"D1";"DIODE";"LL4148FSCT-ND";"";"";"";"";
"1";"TBD62783AFGSO18";"TBD62783AFGSO18";"TBD62783AFG";"U$1";"";"TBD62783AFGELCT-ND ";"";"";"";"";
"1";"TBD62783AFGSO18";"TBD62783AFGSO18";"TBD62783AFG";"U$2";"";"TBD62783AFGELCT-ND";"";"";"";"";
"1";"TIP131";"2SC1306";"TO220BV";"T1";"NPN Transistor Final RF Power Outupt";"";"";"";"";"";
"1";"ULN2803";"ULN2803";"TBD62783AFG";"U$3";"";"296-15777-1-ND ";"";"";"";"";
